tsne_1,tsne_2,class
-3.0427382,3.936308,p
-83.23449,11.634159,e
-59.53622,26.758091,e
11.461016,0.9282465,p
-27.30056,60.838516,e
-82.426506,-1.2183974,e
-80.94745,5.0517936,e
-49.673378,40.265675,e
6.717274,-4.381613,p
-72.13118,8.234368,e
-54.169094,29.631783,e
-74.55106,6.3482127,e
-70.92524,3.6330535,e
-1.0072284,4.444017,p
-7.0491724,70.09567,e
-38.557167,-84.052444,e
-28.149105,61.458115,e
11.28519,-4.5515404,p
12.819576,1.4256562,p
-1.6323651,3.59899,p
-78.56897,10.956946,e
13.08263,-3.5386233,p
-56.251446,40.478016,e
-82.89793,4.761551,e
-46.277275,39.47545,e
12.142367,-2.9250324,p
-83.65668,2.394444,e
-60.448254,30.655966,e
-5.9314394,-8.020682,e
-63.462833,-3.681429,e
-58.984406,29.074242,e
-1.0537633,4.5197673,p
-58.225502,26.85443,e
-54.2147,63.074806,e
-50.0218,39.104416,e
-57.859108,11.939509,e
-38.578968,-84.05421,e
5.0663443,3.713997,p
-63.021816,-4.2842875,e
-56.276737,40.469597,e
-73.178246,2.861895,e
-53.040672,59.246624,e
-3.0772755,-11.355863,e
7.263536,-1.655326,p
-82.12247,3.316895,e
-82.40783,0.022512661,e
-56.078835,40.074615,e
-60.426334,30.663458,e
-52.056805,58.262245,e
-52.185028,61.651245,e
-79.399376,36.498947,e
-54.836784,38.40519,e
-60.88081,35.04834,e
-1.155099,3.5256965,p
-2.7415218,4.863318,p
-73.61849,7.7577233,e
-6.258712,65.97636,e
-81.00275,0.82933223,e
-57.89427,36.01249,e
-80.67953,34.51283,e
-38.57529,-84.052864,e
-78.53542,10.958893,e
-46.991116,38.32739,e
-59.00573,29.07073,e
-50.467026,36.455605,e
-26.624697,62.200005,e
-50.996044,36.340023,e
-77.49341,33.45885,e
-80.24811,-0.8000975,e
-5.5948253,-10.4499445,e
-57.82376,12.3715315,e
-46.69227,39.550556,e
-57.857643,11.947515,e
-80.32535,34.880123,e
-79.615425,12.851519,e
-57.78882,12.374347,e
-83.29157,-24.091354,e
-54.21604,63.086254,e
4.9811034,3.6998894,p
-82.376434,31.677338,e
-25.446018,50.44986,e
4.7552276,-3.708938,p
-4.9206724,-11.863551,e
-10.618045,41.695652,e
-50.967922,61.772182,e
-27.930252,47.015125,e
-71.95273,5.121679,e
-50.499798,36.167225,e
-51.23398,61.280334,e
-38.49132,-85.28235,e
-4.927252,-11.865305,e
-55.04073,38.86052,e
-69.9309,4.6373687,e
-58.64808,29.249949,e
-6.7234683,66.29422,e
-70.06072,5.87846,e
-55.44812,62.323017,e
-82.401344,-1.2333571,e
-70.21161,6.1261935,e
-70.51286,5.717823,e
-15.742271,47.317986,e
-54.651825,27.852,e
-51.155125,63.02805,e
-82.28805,33.341564,e
-56.038986,29.380459,e
-84.17402,2.22018,e
-77.07433,34.022903,e
-50.149216,40.36421,e
-72.428665,9.580455,e
-83.79491,9.5265465,e
-54.657944,30.973106,e
-37.99009,-84.80155,e
-85.62897,-22.426733,e
-84.16382,2.1959186,e
12.834167,1.3510537,p
-55.52762,62.297462,e
-38.88322,-84.81232,e
-51.14773,61.305214,e
-82.51741,-24.103794,e
-38.56552,-84.07266,e
-3.782761,1.2145046,p
-81.120636,4.769486,e
7.70133,-4.666856,p
-27.301687,60.835056,e
-47.005745,38.047314,e
-13.315891,37.67266,e
-80.56145,-0.5919898,e
-1.6971742,68.21061,e
-55.603863,27.765125,e
-49.68951,40.243687,e
-48.851097,35.903778,e
-48.092728,40.114746,e
-82.97999,-24.707632,e
-46.509457,38.03178,e
